ID	CP	ストア	出版社	データタイプ	作者	タイトルID	タイトル名	フォーマット	画面サイズ	DL区分	通番	配信許諾名	配信	表示	状態	価格	DL期限	許諾開始日	許諾終了日	配信開始日	配信終了日	登録日時	更新日時
002f0vwz	Amazon.com, Inc.(国内)	Kindle(国内納品用)	ミナトプロ/エムズ(フルカラー版)	電子書籍	多田かおる	0000azxp	愛してナイト(フルカラー版)	EPUB3.0	汎用	DL	3	3巻	○	○	○	350	無期限	2018/06/08	2999/12/31	2018/06/08	2999/12/31	2018/06/02 06:08:20	2018/06/02 06:08:20
002f0vx0	Amazon.com, Inc.(国内)	Kindle(国内納品用)	ミナトプロ/エムズ(フルカラー版)	電子書籍	多田かおる	0000azxp	愛してナイト(フルカラー版)	EPUB3.0	汎用	DL	4	4巻	○	○	○	350	無期限	2018/06/08	2999/12/31	2018/06/08	2999/12/31	2018/06/02 06:08:20	2018/06/02 06:08:20
002f0vx1	Amazon.com, Inc.(国内)	Kindle(国内納品用)	ミナトプロ/エムズ(フルカラー版)	電子書籍	多田かおる	0000azxp	愛してナイト(フルカラー版)	EPUB3.0	汎用	DL	5	5巻	○	○	○	350	無期限	2018/06/08	2999/12/31	2018/06/08	2999/12/31	2018/06/02 06:08:20	2018/06/02 06:08:20
002f0vx2	Amazon.com, Inc.(国内)	Kindle(国内納品用)	ミナトプロ/エムズ(フルカラー版)	電子書籍	多田かおる	0000azxp	愛してナイト(フルカラー版)	EPUB3.0	汎用	DL	6	6巻	○	○	○	350	無期限	2018/06/08	2999/12/31	2018/06/08	2999/12/31	2018/06/02 06:08:20	2018/06/02 06:08:20
002f0vx3	Amazon.com, Inc.(国内)	Kindle(国内納品用)	ミナトプロ/エムズ(フルカラー版)	電子書籍	多田かおる	0000azxp	愛してナイト(フルカラー版)	EPUB3.0	汎用	DL	7	7巻	○	○	○	350	無期限	2018/06/08	2999/12/31	2018/06/08	2999/12/31	2018/06/02 06:08:20	2018/06/02 06:08:20
002f3ts2	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hnn	WORLD SOCCER DIGEST	EPUB3.0	汎用	DL	68	2018/6/21号	○	○	○	694	無期限	2018/06/07	2999/12/31	2018/06/07	2999/12/31	2018/06/07 06:08:46	2018/06/07 06:08:46
002ewyhi	Amazon.com, Inc.(国内)	Kindle(国内納品用)	デアゴスティーニ･ジャパン	電子書籍	デアゴスティーニ編集部	000096jr	日本の城 改訂版	EPUB3.0	汎用	DL	55	第55号	○	○	○	444	無期限	2018/06/07	2999/12/31	2018/06/07	2999/12/31	2018/05/25 06:08:01	2018/05/25 06:08:01
002ewyhj	Amazon.com, Inc.(国内)	Kindle(国内納品用)	デアゴスティーニ･ジャパン	電子書籍	デアゴスティーニ編集部	000096jr	日本の城 改訂版	EPUB3.0	汎用	サンプル	55	サンプル	○	○	○	0	1	2018/06/07	2999/12/31	2018/06/07	2999/12/31	2018/05/25 06:08:01	2018/05/25 06:08:01
002f3ts3	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hnn	WORLD SOCCER DIGEST	EPUB3.0	汎用	サンプル	68	サンプル	○	○	○	0	1	2018/06/07	2999/12/31	2018/06/07	2999/12/31	2018/06/07 06:08:46	2018/06/07 06:08:46
002f23pn	Amazon.com, Inc.(国内)	Kindle(国内納品用)	クレタパブリッシング	電子書籍	クレタパブリッシング	00009gtf	Under400	EPUB3.0	汎用	DL	22	2018年7月号	○	○	○	649	無期限	2018/06/06	2999/12/31	2018/06/06	2999/12/31	2018/06/02 06:08:19	2018/06/02 06:08:19
002f23po	Amazon.com, Inc.(国内)	Kindle(国内納品用)	クレタパブリッシング	電子書籍	クレタパブリッシング	00009gtf	Under400	EPUB3.0	汎用	サンプル	22	サンプル	○	○	○	0	1	2018/06/06	2999/12/31	2018/06/06	2999/12/31	2018/06/02 06:08:20	2018/06/02 06:08:20
002estm7	Amazon.com, Inc.(国内)	Kindle(国内納品用)	デアゴスティーニ･ジャパン	電子書籍	デアゴスティーニ編集部	000096jr	日本の城 改訂版	EPUB3.0	汎用	DL	54	第54号	○	○	○	444	無期限	2018/05/31	2999/12/31	2018/05/31	2999/12/31	2018/05/18 06:08:17	2018/05/18 06:08:17
002estm8	Amazon.com, Inc.(国内)	Kindle(国内納品用)	デアゴスティーニ･ジャパン	電子書籍	デアゴスティーニ編集部	000096jr	日本の城 改訂版	EPUB3.0	汎用	サンプル	54	サンプル	○	○	○	0	1	2018/05/31	2999/12/31	2018/05/31	2999/12/31	2018/05/18 06:08:17	2018/05/18 06:08:17
002ew36p	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hns	スラッガー	EPUB3.0	汎用	DL	20	2018年7月号	○	○	○	926	無期限	2018/05/24	2999/12/31	2018/05/24	2999/12/31	2018/05/24 06:08:22	2018/05/24 06:08:22
002evezy	Amazon.com, Inc.(国内)	Kindle(国内納品用)	クレタパブリッシング	電子書籍	クレタパブリッシング	00009gvl	タンデムスタイル	EPUB3.0	汎用	DL	43	2018年7月号	○	○	○	556	無期限	2018/05/24	2999/12/31	2018/05/24	2999/12/31	2018/05/23 06:09:04	2018/05/23 06:09:04
002evf02	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	DL	78	2018/6/14･6/28合併号	○	○	○	463	無期限	2018/05/24	2999/12/31	2018/05/24	2999/12/31	2018/05/23 06:09:04	2018/05/23 06:09:04
002eoze1	Amazon.com, Inc.(国内)	Kindle(国内納品用)	デアゴスティーニ･ジャパン	電子書籍	デアゴスティーニ編集部	000096jr	日本の城 改訂版	EPUB3.0	汎用	DL	53	第53号	○	○	○	444	無期限	2018/05/24	2999/12/31	2018/05/24	2999/12/31	2018/05/11 06:08:11	2018/05/11 06:08:11
002evf00	Amazon.com, Inc.(国内)	Kindle(国内納品用)	ライトハウスメディア	電子書籍	OCEANS編集部	00009hak	OCEANS	EPUB3.0	汎用	DL	47	2018年7月号	○	○	○	362	無期限	2018/05/24	2999/12/31	2018/05/24	2999/12/31	2018/05/23 06:09:04	2018/05/23 06:09:04
002eoze2	Amazon.com, Inc.(国内)	Kindle(国内納品用)	デアゴスティーニ･ジャパン	電子書籍	デアゴスティーニ編集部	000096jr	日本の城 改訂版	EPUB3.0	汎用	サンプル	53	サンプル	○	○	○	0	1	2018/05/24	2999/12/31	2018/05/24	2999/12/31	2018/05/11 06:08:11	2018/05/11 06:08:11
002evezz	Amazon.com, Inc.(国内)	Kindle(国内納品用)	クレタパブリッシング	電子書籍	クレタパブリッシング	00009gvl	タンデムスタイル	EPUB3.0	汎用	サンプル	43	サンプル	○	○	○	0	1	2018/05/24	2999/12/31	2018/05/24	2999/12/31	2018/05/23 06:09:04	2018/05/23 06:09:04
002evf01	Amazon.com, Inc.(国内)	Kindle(国内納品用)	ライトハウスメディア	電子書籍	OCEANS編集部	00009hak	OCEANS	EPUB3.0	汎用	サンプル	47	サンプル	○	○	○	0	1	2018/05/24	2999/12/31	2018/05/24	2999/12/31	2018/05/23 06:09:04	2018/05/23 06:09:04
